Capital_Call_Date,Triggering_Investment,Total_Capital_Called_for_Deal,Investor,Investor_Contribution,Cumulative_Contribution,Total_Commitment,Remaining_Commitment
2005-12-31,Visiondynamic Uk,601939398.0,Noah Sullivan,75242425.0,1027574812.0,5000000000.0,3972425188.0
2005-12-31,Visiondynamic Uk,601939398.0,Priya Deshmukh,75242425.0,1027574812.0,5000000000.0,3972425188.0
2005-12-31,Visiondynamic Uk,601939398.0,Luca Moretti,75242425.0,1027574812.0,5000000000.0,3972425188.0
2005-12-31,Visiondynamic Uk,601939398.0,Isabella Vargas,75242425.0,1027574812.0,5000000000.0,3972425188.0
2005-12-31,Visiondynamic Uk,601939398.0,Ethan Gallagher,75242425.0,1027574812.0,5000000000.0,3972425188.0
2005-12-31,Visiondynamic Uk,601939398.0,Aisha Mensah,75242425.0,1027574812.0,5000000000.0,3972425188.0
2005-12-31,Visiondynamic Uk,601939398.0,Kenji Watanabe,75242425.0,1027574812.0,5000000000.0,3972425188.0
2006-06-30,(llc) Flow Capital,768296838.0,Amelia Chen,96037105.0,1123611917.0,5000000000.0,3876388083.0
2006-06-30,(llc) Flow Capital,768296838.0,Noah Sullivan,96037105.0,1123611917.0,5000000000.0,3876388083.0
2006-06-30,(llc) Flow Capital,768296838.0,Priya Deshmukh,96037105.0,1123611917.0,5000000000.0,3876388083.0
2006-06-30,(llc) Flow Capital,768296838.0,Luca Moretti,96037105.0,1123611917.0,5000000000.0,3876388083.0
2006-06-30,(llc) Flow Capital,768296838.0,Isabella Vargas,96037105.0,1123611917.0,5000000000.0,3876388083.0
2006-06-30,(llc) Flow Capital,768296838.0,Ethan Gallagher,96037105.0,1123611917.0,5000000000.0,3876388083.0
2006-06-30,(llc) Flow Capital,768296838.0,Aisha Mensah,96037105.0,1123611917.0,5000000000.0,3876388083.0
2006-06-30,(llc) Flow Capital,768296838.0,Kenji Watanabe,96037105.0,1123611917.0,5000000000.0,3876388083.0
2006-06-30,Cargomotor Euro,907375617.0,Amelia Chen,113421952.0,1237033869.0,5000000000.0,3762966131.0
2006-06-30,Cargomotor Euro,907375617.0,Noah Sullivan,113421952.0,1237033869.0,5000000000.0,3762966131.0
2006-06-30,Cargomotor Euro,907375617.0,Priya Deshmukh,113421952.0,1237033869.0,5000000000.0,3762966131.0
2006-06-30,Cargomotor Euro,907375617.0,Luca Moretti,113421952.0,1237033869.0,5000000000.0,3762966131.0
2006-06-30,Cargomotor Euro,907375617.0,Isabella Vargas,113421952.0,1237033869.0,5000000000.0,3762966131.0
2006-06-30,Cargomotor Euro,907375617.0,Ethan Gallagher,113421952.0,1237033869.0,5000000000.0,3762966131.0
2006-06-30,Cargomotor Euro,907375617.0,Aisha Mensah,113421952.0,1237033869.0,5000000000.0,3762966131.0
2006-06-30,Cargomotor Euro,907375617.0,Kenji Watanabe,113421952.0,1237033869.0,5000000000.0,3762966131.0
2006-06-30,Manama Heavy Ventures,527769123.0,Amelia Chen,65971140.0,1303005010.0,5000000000.0,3696994990.0
2006-06-30,Manama Heavy Ventures,527769123.0,Noah Sullivan,65971140.0,1303005010.0,5000000000.0,3696994990.0
2006-06-30,Manama Heavy Ventures,527769123.0,Priya Deshmukh,65971140.0,1303005010.0,5000000000.0,3696994990.0
2006-06-30,Manama Heavy Ventures,527769123.0,Luca Moretti,65971140.0,1303005010.0,5000000000.0,3696994990.0
2006-06-30,Manama Heavy Ventures,527769123.0,Isabella Vargas,65971140.0,1303005010.0,5000000000.0,3696994990.0
2006-06-30,Manama Heavy Ventures,527769123.0,Ethan Gallagher,65971140.0,1303005010.0,5000000000.0,3696994990.0
2006-06-30,Manama Heavy Ventures,527769123.0,Aisha Mensah,65971140.0,1303005010.0,5000000000.0,3696994990.0
2006-06-30,Manama Heavy Ventures,527769123.0,Kenji Watanabe,65971140.0,1303005010.0,5000000000.0,3696994990.0
2006-06-30,Gulf Data Fresh,433633700.0,Amelia Chen,54204212.0,1357209222.0,5000000000.0,3642790778.0
2006-06-30,Gulf Data Fresh,433633700.0,Noah Sullivan,54204212.0,1357209222.0,5000000000.0,3642790778.0
2006-06-30,Gulf Data Fresh,433633700.0,Priya Deshmukh,54204212.0,1357209222.0,5000000000.0,3642790778.0
2006-06-30,Gulf Data Fresh,433633700.0,Luca Moretti,54204212.0,1357209222.0,5000000000.0,3642790778.0
2006-06-30,Gulf Data Fresh,433633700.0,Isabella Vargas,54204212.0,1357209222.0,5000000000.0,3642790778.0
2006-06-30,Gulf Data Fresh,433633700.0,Ethan Gallagher,54204212.0,1357209222.0,5000000000.0,3642790778.0
2006-06-30,Gulf Data Fresh,433633700.0,Aisha Mensah,54204212.0,1357209222.0,5000000000.0,3642790778.0
2006-06-30,Gulf Data Fresh,433633700.0,Kenji Watanabe,54204212.0,1357209222.0,5000000000.0,3642790778.0
2006-07-31,Doha Industries Apex,994119665.0,Amelia Chen,124264958.0,1481474180.0,5000000000.0,3518525820.0
2006-07-31,Doha Industries Apex,994119665.0,Noah Sullivan,124264958.0,1481474180.0,5000000000.0,3518525820.0
2006-07-31,Doha Industries Apex,994119665.0,Priya Deshmukh,124264958.0,1481474180.0,5000000000.0,3518525820.0
2006-07-31,Doha Industries Apex,994119665.0,Luca Moretti,124264958.0,1481474180.0,5000000000.0,3518525820.0
2006-07-31,Doha Industries Apex,994119665.0,Isabella Vargas,124264958.0,1481474180.0,5000000000.0,3518525820.0
2006-07-31,Doha Industries Apex,994119665.0,Ethan Gallagher,124264958.0,1481474180.0,5000000000.0,3518525820.0
2006-07-31,Doha Industries Apex,994119665.0,Aisha Mensah,124264958.0,1481474180.0,5000000000.0,3518525820.0
2006-07-31,Doha Industries Apex,994119665.0,Kenji Watanabe,124264958.0,1481474180.0,5000000000.0,3518525820.0
2006-09-30,Britannia Futuredata,1274147531.0,Amelia Chen,159268441.0,1640742622.0,5000000000.0,3359257378.0
2006-09-30,Britannia Futuredata,1274147531.0,Noah Sullivan,159268441.0,1640742622.0,5000000000.0,3359257378.0
2006-09-30,Britannia Futuredata,1274147531.0,Priya Deshmukh,159268441.0,1640742622.0,5000000000.0,3359257378.0
2006-09-30,Britannia Futuredata,1274147531.0,Luca Moretti,159268441.0,1640742622.0,5000000000.0,3359257378.0
2006-09-30,Britannia Futuredata,1274147531.0,Isabella Vargas,159268441.0,1640742622.0,5000000000.0,3359257378.0
2006-09-30,Britannia Futuredata,1274147531.0,Ethan Gallagher,159268441.0,1640742622.0,5000000000.0,3359257378.0
2006-09-30,Britannia Futuredata,1274147531.0,Aisha Mensah,159268441.0,1640742622.0,5000000000.0,3359257378.0
2006-09-30,Britannia Futuredata,1274147531.0,Kenji Watanabe,159268441.0,1640742622.0,5000000000.0,3359257378.0
2006-09-30,(llc) Public Industries,1302338151.0,Amelia Chen,162792269.0,1803534891.0,5000000000.0,3196465109.0
2006-09-30,(llc) Public Industries,1302338151.0,Noah Sullivan,162792269.0,1803534891.0,5000000000.0,3196465109.0
2006-09-30,(llc) Public Industries,1302338151.0,Priya Deshmukh,162792269.0,1803534891.0,5000000000.0,3196465109.0
2006-09-30,(llc) Public Industries,1302338151.0,Luca Moretti,162792269.0,1803534891.0,5000000000.0,3196465109.0
2006-09-30,(llc) Public Industries,1302338151.0,Isabella Vargas,162792269.0,1803534891.0,5000000000.0,3196465109.0
2006-09-30,(llc) Public Industries,1302338151.0,Ethan Gallagher,162792269.0,1803534891.0,5000000000.0,3196465109.0
2006-09-30,(llc) Public Industries,1302338151.0,Aisha Mensah,162792269.0,1803534891.0,5000000000.0,3196465109.0
2006-09-30,(llc) Public Industries,1302338151.0,Kenji Watanabe,162792269.0,1803534891.0,5000000000.0,3196465109.0
2006-10-31,Madrid Solutions Penta,1077359618.0,Amelia Chen,134669952.0,1938204843.0,5000000000.0,3061795157.0
2006-10-31,Madrid Solutions Penta,1077359618.0,Noah Sullivan,134669952.0,1938204843.0,5000000000.0,3061795157.0
2006-10-31,Madrid Solutions Penta,1077359618.0,Priya Deshmukh,134669952.0,1938204843.0,5000000000.0,3061795157.0
2006-10-31,Madrid Solutions Penta,1077359618.0,Luca Moretti,134669952.0,1938204843.0,5000000000.0,3061795157.0
2006-10-31,Madrid Solutions Penta,1077359618.0,Isabella Vargas,134669952.0,1938204843.0,5000000000.0,3061795157.0
2006-10-31,Madrid Solutions Penta,1077359618.0,Ethan Gallagher,134669952.0,1938204843.0,5000000000.0,3061795157.0
2006-10-31,Madrid Solutions Penta,1077359618.0,Aisha Mensah,134669952.0,1938204843.0,5000000000.0,3061795157.0
2006-10-31,Madrid Solutions Penta,1077359618.0,Kenji Watanabe,134669952.0,1938204843.0,5000000000.0,3061795157.0
2006-11-30,Coreenterprie Us-,324727999.0,Amelia Chen,40591000.0,1978795843.0,5000000000.0,3021204157.0
2006-11-30,Coreenterprie Us-,324727999.0,Noah Sullivan,40591000.0,1978795843.0,5000000000.0,3021204157.0
2006-11-30,Coreenterprie Us-,324727999.0,Priya Deshmukh,40591000.0,1978795843.0,5000000000.0,3021204157.0
2006-11-30,Coreenterprie Us-,324727999.0,Luca Moretti,40591000.0,1978795843.0,5000000000.0,3021204157.0
2006-11-30,Coreenterprie Us-,324727999.0,Isabella Vargas,40591000.0,1978795843.0,5000000000.0,3021204157.0
2006-11-30,Coreenterprie Us-,324727999.0,Ethan Gallagher,40591000.0,1978795843.0,5000000000.0,3021204157.0
2006-11-30,Coreenterprie Us-,324727999.0,Aisha Mensah,40591000.0,1978795843.0,5000000000.0,3021204157.0
2006-11-30,Coreenterprie Us-,324727999.0,Kenji Watanabe,40591000.0,1978795843.0,5000000000.0,3021204157.0
2006-11-30,Muscat Metrologitic,686748743.0,Amelia Chen,85843593.0,2064639436.0,5000000000.0,2935360564.0
2006-11-30,Muscat Metrologitic,686748743.0,Noah Sullivan,85843593.0,2064639436.0,5000000000.0,2935360564.0
2006-11-30,Muscat Metrologitic,686748743.0,Priya Deshmukh,85843593.0,2064639436.0,5000000000.0,2935360564.0
2006-11-30,Muscat Metrologitic,686748743.0,Luca Moretti,85843593.0,2064639436.0,5000000000.0,2935360564.0
2006-11-30,Muscat Metrologitic,686748743.0,Isabella Vargas,85843593.0,2064639436.0,5000000000.0,2935360564.0
2006-11-30,Muscat Metrologitic,686748743.0,Ethan Gallagher,85843593.0,2064639436.0,5000000000.0,2935360564.0
2006-11-30,Muscat Metrologitic,686748743.0,Aisha Mensah,85843593.0,2064639436.0,5000000000.0,2935360564.0
2006-11-30,Muscat Metrologitic,686748743.0,Kenji Watanabe,85843593.0,2064639436.0,5000000000.0,2935360564.0
2006-12-31,Arabian Griddynamic,846802749.0,Amelia Chen,105850344.0,2170489779.0,5000000000.0,2829510221.0
2006-12-31,Arabian Griddynamic,846802749.0,Noah Sullivan,105850344.0,2170489779.0,5000000000.0,2829510221.0
2006-12-31,Arabian Griddynamic,846802749.0,Priya Deshmukh,105850344.0,2170489779.0,5000000000.0,2829510221.0
2006-12-31,Arabian Griddynamic,846802749.0,Luca Moretti,105850344.0,2170489779.0,5000000000.0,2829510221.0
2006-12-31,Arabian Griddynamic,846802749.0,Isabella Vargas,105850344.0,2170489779.0,5000000000.0,2829510221.0
2006-12-31,Arabian Griddynamic,846802749.0,Ethan Gallagher,105850344.0,2170489779.0,5000000000.0,2829510221.0
2006-12-31,Arabian Griddynamic,846802749.0,Aisha Mensah,105850344.0,2170489779.0,5000000000.0,2829510221.0
2006-12-31,Arabian Griddynamic,846802749.0,Kenji Watanabe,105850344.0,2170489779.0,5000000000.0,2829510221.0
2006-12-31,Italian Motor Solutions,1661904108.0,Amelia Chen,207738014.0,2378227793.0,5000000000.0,2621772207.0
2006-12-31,Italian Motor Solutions,1661904108.0,Noah Sullivan,207738014.0,2378227793.0,5000000000.0,2621772207.0
2006-12-31,Italian Motor Solutions,1661904108.0,Priya Deshmukh,207738014.0,2378227793.0,5000000000.0,2621772207.0
2006-12-31,Italian Motor Solutions,1661904108.0,Luca Moretti,207738014.0,2378227793.0,5000000000.0,2621772207.0
2006-12-31,Italian Motor Solutions,1661904108.0,Isabella Vargas,207738014.0,2378227793.0,5000000000.0,2621772207.0
2006-12-31,Italian Motor Solutions,1661904108.0,Ethan Gallagher,207738014.0,2378227793.0,5000000000.0,2621772207.0
2006-12-31,Italian Motor Solutions,1661904108.0,Aisha Mensah,207738014.0,2378227793.0,5000000000.0,2621772207.0
2006-12-31,Italian Motor Solutions,1661904108.0,Kenji Watanabe,207738014.0,2378227793.0,5000000000.0,2621772207.0
2007-01-31,Global Enterprises Nexus,755335479.0,Amelia Chen,94416935.0,2472644728.0,5000000000.0,2527355272.0
2007-01-31,Global Enterprises Nexus,755335479.0,Noah Sullivan,94416935.0,2472644728.0,5000000000.0,2527355272.0
2007-01-31,Global Enterprises Nexus,755335479.0,Priya Deshmukh,94416935.0,2472644728.0,5000000000.0,2527355272.0
2007-01-31,Global Enterprises Nexus,755335479.0,Luca Moretti,94416935.0,2472644728.0,5000000000.0,2527355272.0
2007-01-31,Global Enterprises Nexus,755335479.0,Isabella Vargas,94416935.0,2472644728.0,5000000000.0,2527355272.0
2007-01-31,Global Enterprises Nexus,755335479.0,Ethan Gallagher,94416935.0,2472644728.0,5000000000.0,2527355272.0
2007-01-31,Global Enterprises Nexus,755335479.0,Aisha Mensah,94416935.0,2472644728.0,5000000000.0,2527355272.0
2007-01-31,Global Enterprises Nexus,755335479.0,Kenji Watanabe,94416935.0,2472644728.0,5000000000.0,2527355272.0
2007-01-31,(llc) Solutions Quality,1853123900.0,Amelia Chen,231640488.0,2704285215.0,5000000000.0,2295714785.0
2007-01-31,(llc) Solutions Quality,1853123900.0,Noah Sullivan,231640488.0,2704285215.0,5000000000.0,2295714785.0
2007-01-31,(llc) Solutions Quality,1853123900.0,Priya Deshmukh,231640488.0,2704285215.0,5000000000.0,2295714785.0
2007-01-31,(llc) Solutions Quality,1853123900.0,Luca Moretti,231640488.0,2704285215.0,5000000000.0,2295714785.0
2007-01-31,(llc) Solutions Quality,1853123900.0,Isabella Vargas,231640488.0,2704285215.0,5000000000.0,2295714785.0
2007-01-31,(llc) Solutions Quality,1853123900.0,Ethan Gallagher,231640488.0,2704285215.0,5000000000.0,2295714785.0
2007-01-31,(llc) Solutions Quality,1853123900.0,Aisha Mensah,231640488.0,2704285215.0,5000000000.0,2295714785.0
2007-01-31,(llc) Solutions Quality,1853123900.0,Kenji Watanabe,231640488.0,2704285215.0,5000000000.0,2295714785.0
2007-01-31,Kuwaiti Markets Choice,2342712948.0,Amelia Chen,292839118.0,2997124334.0,5000000000.0,2002875666.0
2007-01-31,Kuwaiti Markets Choice,2342712948.0,Noah Sullivan,292839118.0,2997124334.0,5000000000.0,2002875666.0
2007-01-31,Kuwaiti Markets Choice,2342712948.0,Priya Deshmukh,292839118.0,2997124334.0,5000000000.0,2002875666.0
2007-01-31,Kuwaiti Markets Choice,2342712948.0,Luca Moretti,292839118.0,2997124334.0,5000000000.0,2002875666.0
2007-01-31,Kuwaiti Markets Choice,2342712948.0,Isabella Vargas,292839118.0,2997124334.0,5000000000.0,2002875666.0
2007-01-31,Kuwaiti Markets Choice,2342712948.0,Ethan Gallagher,292839118.0,2997124334.0,5000000000.0,2002875666.0
2007-01-31,Kuwaiti Markets Choice,2342712948.0,Aisha Mensah,292839118.0,2997124334.0,5000000000.0,2002875666.0
2007-01-31,Kuwaiti Markets Choice,2342712948.0,Kenji Watanabe,292839118.0,2997124334.0,5000000000.0,2002875666.0
2007-03-31,(ltd.) Move Motors,2369118689.0,Amelia Chen,296139836.0,3293264170.0,5000000000.0,1706735830.0
2007-03-31,(ltd.) Move Motors,2369118689.0,Noah Sullivan,296139836.0,3293264170.0,5000000000.0,1706735830.0
2007-03-31,(ltd.) Move Motors,2369118689.0,Priya Deshmukh,296139836.0,3293264170.0,5000000000.0,1706735830.0
2007-03-31,(ltd.) Move Motors,2369118689.0,Luca Moretti,296139836.0,3293264170.0,5000000000.0,1706735830.0
2007-03-31,(ltd.) Move Motors,2369118689.0,Isabella Vargas,296139836.0,3293264170.0,5000000000.0,1706735830.0
2007-03-31,(ltd.) Move Motors,2369118689.0,Ethan Gallagher,296139836.0,3293264170.0,5000000000.0,1706735830.0
2007-03-31,(ltd.) Move Motors,2369118689.0,Aisha Mensah,296139836.0,3293264170.0,5000000000.0,1706735830.0
2007-03-31,(ltd.) Move Motors,2369118689.0,Kenji Watanabe,296139836.0,3293264170.0,5000000000.0,1706735830.0
2007-03-31,Muscat Markets Click,2599199673.0,Amelia Chen,324899959.0,3618164129.0,5000000000.0,1381835871.0
2007-03-31,Muscat Markets Click,2599199673.0,Noah Sullivan,324899959.0,3618164129.0,5000000000.0,1381835871.0
2007-03-31,Muscat Markets Click,2599199673.0,Priya Deshmukh,324899959.0,3618164129.0,5000000000.0,1381835871.0
2007-03-31,Muscat Markets Click,2599199673.0,Luca Moretti,324899959.0,3618164129.0,5000000000.0,1381835871.0
2007-03-31,Muscat Markets Click,2599199673.0,Isabella Vargas,324899959.0,3618164129.0,5000000000.0,1381835871.0
2007-03-31,Muscat Markets Click,2599199673.0,Ethan Gallagher,324899959.0,3618164129.0,5000000000.0,1381835871.0
2007-03-31,Muscat Markets Click,2599199673.0,Aisha Mensah,324899959.0,3618164129.0,5000000000.0,1381835871.0
2007-03-31,Muscat Markets Click,2599199673.0,Kenji Watanabe,324899959.0,3618164129.0,5000000000.0,1381835871.0
2007-05-31,Apexholding (spa),1504865127.0,Amelia Chen,188108141.0,3806272270.0,5000000000.0,1193727730.0
2007-05-31,Apexholding (spa),1504865127.0,Noah Sullivan,188108141.0,3806272270.0,5000000000.0,1193727730.0
2007-05-31,Apexholding (spa),1504865127.0,Priya Deshmukh,188108141.0,3806272270.0,5000000000.0,1193727730.0
2007-05-31,Apexholding (spa),1504865127.0,Luca Moretti,188108141.0,3806272270.0,5000000000.0,1193727730.0
2007-05-31,Apexholding (spa),1504865127.0,Isabella Vargas,188108141.0,3806272270.0,5000000000.0,1193727730.0
2007-05-31,Apexholding (spa),1504865127.0,Ethan Gallagher,188108141.0,3806272270.0,5000000000.0,1193727730.0
2007-05-31,Apexholding (spa),1504865127.0,Aisha Mensah,188108141.0,3806272270.0,5000000000.0,1193727730.0
2007-05-31,Apexholding (spa),1504865127.0,Kenji Watanabe,188108141.0,3806272270.0,5000000000.0,1193727730.0
2007-08-31,British Marketholding,1522167214.0,Amelia Chen,190270902.0,3996543172.0,5000000000.0,1003456828.0
2007-08-31,British Marketholding,1522167214.0,Noah Sullivan,190270902.0,3996543172.0,5000000000.0,1003456828.0
2007-08-31,British Marketholding,1522167214.0,Priya Deshmukh,190270902.0,3996543172.0,5000000000.0,1003456828.0
2007-08-31,British Marketholding,1522167214.0,Luca Moretti,190270902.0,3996543172.0,5000000000.0,1003456828.0
2007-08-31,British Marketholding,1522167214.0,Isabella Vargas,190270902.0,3996543172.0,5000000000.0,1003456828.0
2007-08-31,British Marketholding,1522167214.0,Ethan Gallagher,190270902.0,3996543172.0,5000000000.0,1003456828.0
2007-08-31,British Marketholding,1522167214.0,Aisha Mensah,190270902.0,3996543172.0,5000000000.0,1003456828.0
2007-08-31,British Marketholding,1522167214.0,Kenji Watanabe,190270902.0,3996543172.0,5000000000.0,1003456828.0
2008-06-30,Celtic Sky Enterprises,3181316143.0,Amelia Chen,397664518.0,4394207689.0,5000000000.0,605792311.0
2008-06-30,Celtic Sky Enterprises,3181316143.0,Noah Sullivan,397664518.0,4394207689.0,5000000000.0,605792311.0
2008-06-30,Celtic Sky Enterprises,3181316143.0,Priya Deshmukh,397664518.0,4394207689.0,5000000000.0,605792311.0
2008-06-30,Celtic Sky Enterprises,3181316143.0,Luca Moretti,397664518.0,4394207689.0,5000000000.0,605792311.0
2008-06-30,Celtic Sky Enterprises,3181316143.0,Isabella Vargas,397664518.0,4394207689.0,5000000000.0,605792311.0
2008-06-30,Celtic Sky Enterprises,3181316143.0,Ethan Gallagher,397664518.0,4394207689.0,5000000000.0,605792311.0
2008-06-30,Celtic Sky Enterprises,3181316143.0,Aisha Mensah,397664518.0,4394207689.0,5000000000.0,605792311.0
2008-06-30,Celtic Sky Enterprises,3181316143.0,Kenji Watanabe,397664518.0,4394207689.0,5000000000.0,605792311.0
2008-07-31,Metrodata (nv),821232361.0,Amelia Chen,102654045.0,4496861734.0,5000000000.0,503138266.0
2008-07-31,Metrodata (nv),821232361.0,Noah Sullivan,102654045.0,4496861734.0,5000000000.0,503138266.0
2008-07-31,Metrodata (nv),821232361.0,Priya Deshmukh,102654045.0,4496861734.0,5000000000.0,503138266.0
2008-07-31,Metrodata (nv),821232361.0,Luca Moretti,102654045.0,4496861734.0,5000000000.0,503138266.0
2008-07-31,Metrodata (nv),821232361.0,Isabella Vargas,102654045.0,4496861734.0,5000000000.0,503138266.0
2008-07-31,Metrodata (nv),821232361.0,Ethan Gallagher,102654045.0,4496861734.0,5000000000.0,503138266.0
2008-07-31,Metrodata (nv),821232361.0,Aisha Mensah,102654045.0,4496861734.0,5000000000.0,503138266.0
2008-07-31,Metrodata (nv),821232361.0,Kenji Watanabe,102654045.0,4496861734.0,5000000000.0,503138266.0
2008-08-31,Britannia Markets Click,2968905374.0,Amelia Chen,371113172.0,4867974906.0,5000000000.0,132025094.0
2008-08-31,Britannia Markets Click,2968905374.0,Noah Sullivan,371113172.0,4867974906.0,5000000000.0,132025094.0
2008-08-31,Britannia Markets Click,2968905374.0,Priya Deshmukh,371113172.0,4867974906.0,5000000000.0,132025094.0
2008-08-31,Britannia Markets Click,2968905374.0,Luca Moretti,371113172.0,4867974906.0,5000000000.0,132025094.0
2008-08-31,Britannia Markets Click,2968905374.0,Isabella Vargas,371113172.0,4867974906.0,5000000000.0,132025094.0
2008-08-31,Britannia Markets Click,2968905374.0,Ethan Gallagher,371113172.0,4867974906.0,5000000000.0,132025094.0
2008-08-31,Britannia Markets Click,2968905374.0,Aisha Mensah,371113172.0,4867974906.0,5000000000.0,132025094.0
2008-08-31,Britannia Markets Click,2968905374.0,Kenji Watanabe,371113172.0,4867974906.0,5000000000.0,132025094.0
2008-08-31,Italian Primelogitic,1507362832.0,Amelia Chen,188420354.0,5056395260.0,5000000000.0,-56395260.0
2008-08-31,Italian Primelogitic,1507362832.0,Noah Sullivan,188420354.0,5056395260.0,5000000000.0,-56395260.0
2008-08-31,Italian Primelogitic,1507362832.0,Priya Deshmukh,188420354.0,5056395260.0,5000000000.0,-56395260.0
2008-08-31,Italian Primelogitic,1507362832.0,Luca Moretti,188420354.0,5056395260.0,5000000000.0,-56395260.0
2008-08-31,Italian Primelogitic,1507362832.0,Isabella Vargas,188420354.0,5056395260.0,5000000000.0,-56395260.0
2008-08-31,Italian Primelogitic,1507362832.0,Ethan Gallagher,188420354.0,5056395260.0,5000000000.0,-56395260.0
2008-08-31,Italian Primelogitic,1507362832.0,Aisha Mensah,188420354.0,5056395260.0,5000000000.0,-56395260.0
2008-08-31,Italian Primelogitic,1507362832.0,Kenji Watanabe,188420354.0,5056395260.0,5000000000.0,-56395260.0
2008-11-30,(plc) Capital Gene,2370554438.0,Amelia Chen,296319305.0,5352714565.0,5000000000.0,-352714565.0
2008-11-30,(plc) Capital Gene,2370554438.0,Noah Sullivan,296319305.0,5352714565.0,5000000000.0,-352714565.0
2008-11-30,(plc) Capital Gene,2370554438.0,Priya Deshmukh,296319305.0,5352714565.0,5000000000.0,-352714565.0
2008-11-30,(plc) Capital Gene,2370554438.0,Luca Moretti,296319305.0,5352714565.0,5000000000.0,-352714565.0
